Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,time_of_day,Customer_Category,Season,Promotion,Member
1000000016,2021-06-09,Lauren Bean,['Peanuts'],1,15.13,Credit Card,West Steve,12:23:06,Young Adult (20-29),Summer,BOGO (Buy One Get One),Yes
1000000017,2021-10-05,Daniel Bradley,"['Pens', 'Bra', 'Backpack', 'Jelly']",4,37.72,Cash,New Nancy,12:46:56,Senior (65+),Summer,BOGO (Buy One Get One),Yes
1000000018,2020-11-30,Christopher Garcia,"['Suitcase', 'Ruler']",2,19.81,Credit Card,New Tyler,11:41:57,Middle-aged (50-64),Winter,None,Yes
1000000019,2020-07-20,Kyle Myers,"['Ruler', 'Cotton Balls', 'Aluminum Foil', 'Sweatshirt']",4,37.43,Debit Card,Riveraberg,14:18:04,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000020,2022-01-11,Thomas Mccarthy,"['Canned Tuna', 'Band-Aids', 'Lollipops', 'Conditioner']",4,39.42,Debit Card,Kennethstad,16:35:38,Senior (65+),Summer,BOGO (Buy One Get One),No
1000000021,2022-08-02,Tara Gutierrez,"['Tank Top', 'Plastic Utensils', 'Granola Bars', 'Brownies', 'Pens']",5,35.38,Cash,Lindaburgh,11:41:22,Teenager (13-19),Fall,None,Yes
1000000022,2021-04-09,Crystal Martinez,"['Jump Rope', 'Storage Bins', 'First Aid Kit']",3,26.9,Mobile Payment,West William,10:07:39,Teenager (13-19),Summer,BOGO (Buy One Get One),No
1000000023,2022-08-21,Eric Mathis MD,"['Leggings', 'Barbecue Sauce']",2,39.36,Cash,Stokesland,08:23:06,Middle-aged (50-64),Fall,Discount on Selected Items,Yes
1000000024,2023-12-04,Cynthia Perez,['Cheese'],1,6.15,Debit Card,Port Jesseberg,16:06:24,Teenager (13-19),Fall,BOGO (Buy One Get One),No
1000000025,2020-03-21,Jeffery Skinner,"['Lotion', 'Beach Towel', 'Colored Pencils']",3,16.63,Debit Card,Lake Brian,18:49:11,Senior (65+),Fall,Discount on Selected Items,No
1000000026,2021-02-10,Amanda Villanueva,"['Oats', 'Slippers', 'Bleach', 'Pain Relievers', 'Ketchup', 'Envelopes', 'Spaghetti', 'Duct Tape']",8,97.81,Debit Card,Henrytown,16:31:16,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000027,2020-05-12,Denise Gutierrez,"['Protein Shakes', 'Oats', 'Scrubbers', 'Trail Mix', 'Jam']",5,52.98,Mobile Payment,North Anthony,11:00:11,Adult (30-49),Summer,BOGO (Buy One Get One),Yes
1000000028,2022-09-15,Jasmine Johns,"['Orange Juice', 'Headbands', 'Plastic Wrap', 'Raincoat', 'Jeans']",5,50.25,Debit Card,Richardbury,06:27:03,Young Adult (20-29),Fall,BOGO (Buy One Get One),No
1000000029,2021-08-25,Brenda Copeland,"['Lollipops', 'Cucumber', 'Lighter Fluid', 'Bath Mat']",4,30.07,Debit Card,Conwayland,12:31:14,Middle-aged (50-64),Winter,None,Yes
1000000030,2021-10-03,Cory Nguyen,"['Paper Towels', 'Carry-on Bag']",2,19.21,Mobile Payment,Lake Sue,08:17:16,Middle-aged (50-64),Fall,None,Yes
1000000031,2020-12-26,Tyler Goodman,"['Facial Tissue', 'Crayons', 'Frozen Burritos', 'Coat', 'Bath Bombs', 'First Aid Kit']",6,60.43000000000001,Cash,North Robin,08:18:52,Young Adult (20-29),Summer,None,No
1000000032,2023-02-08,Victor Murray,"['Hoodie', 'Canned Fruit', 'Cotton Balls', 'Jeans', 'Jump Rope', 'Napkins', 'Bra', 'Batteries', 'Sunscreen', 'Glass Cleaner']",10,93.72000000000001,Mobile Payment,Joshuaberg,16:47:57,Teenager (13-19),Fall,Discount on Selected Items,Yes
1000000033,2023-01-13,Tracy Barnes,"['Ketchup', 'Pens', 'Handbag', 'Water']",4,43.21,Debit Card,Freemanhaven,15:09:17,Adult (30-49),Spring,BOGO (Buy One Get One),Yes
1000000034,2021-10-15,Ruth Marquez,"['Brown Sugar', 'Bug Spray', 'Shower Shoes']",3,24.29,Debit Card,West Abigailstad,09:44:29,Middle-aged (50-64),Spring,Discount on Selected Items,Yes
1000000035,2023-04-19,Adrian Fischer,"['Raincoat', 'Garlic Powder', 'Binders', 'Tape', 'Exercise Bike']",5,58.87,Cash,East Brianaland,09:28:20,Adult (30-49),Summer,None,No
1000000036,2020-12-03,Carmen Lloyd,['Disinfectant Wipes'],1,13.15,Debit Card,Port Matthew,21:56:19,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000037,2021-05-17,David Thornton,"['Sugar', 'Mints', 'Bobby Pins', 'Orange Juice']",4,49.01,Credit Card,Lake Katieland,14:43:27,Young Adult (20-29),Winter,BOGO (Buy One Get One),No
1000000038,2023-10-30,Christina Myers,"['Chocolate', 'Spaghetti']",2,32.05,Mobile Payment,Port Angela,15:09:50,Adult (30-49),Winter,None,No
1000000039,2020-11-29,Ricky Glass,"['Notebook Paper', 'Tote Bag', 'Resistance Bands', 'Sponges']",4,45.849999999999994,Mobile Payment,Grossstad,15:30:08,Senior (65+),Spring,BOGO (Buy One Get One),Yes
1000000040,2020-07-29,Shawn Blair,"['Mac and Cheese', 'Pens']",2,9.57,Debit Card,Lake Martinhaven,18:55:03,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000041,2020-02-16,Joshua Nichols,"['Canned Fruit', 'Hat', 'Ruler', 'Paprika', 'Water', 'Paper Towels', 'Fabric Softener']",7,78.1,Debit Card,New Alexandraland,20:07:31,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000042,2022-09-08,Dr. Eduardo Nunez PhD,"['Hand Sanitizer', 'Dish Soap', 'Ramen', 'Frozen Pizza', 'Tomatoes', 'Energy Drinks', 'Milk']",7,91.77,Debit Card,Brooksburgh,18:45:22,Senior (65+),Winter,None,Yes
1000000043,2023-04-13,Joshua Holland,"['Napkins', 'Shower Shoes', 'Honey']",3,29.72,Debit Card,Jasmineburgh,12:38:00,Adult (30-49),Spring,BOGO (Buy One Get One),No
1000000044,2020-03-16,Craig Wilson,"['Energy Drinks', 'Nail Polish Remover', 'Fabric Softener', 'Canola Oil', 'Juice', 'Allergy Medicine', 'Air Freshener']",7,101.58,Mobile Payment,New Brianside,14:20:55,Middle-aged (50-64),Winter,None,Yes
1000000045,2021-11-29,Katelyn Jones,"['Oranges', 'Bathrobe', 'Matches', 'Pickles']",4,45.1,Debit Card,Jimenezfort,12:12:21,Adult (30-49),Winter,Discount on Selected Items,Yes
1000000046,2021-08-01,Michael Ortiz,"['Resistance Bands', 'Glue', 'Tank Top', 'Frozen Dinners', 'Chicken', 'Thermometer', 'Duct Tape']",7,50.69,Debit Card,Angelachester,15:47:15,Adult (30-49),Spring,BOGO (Buy One Get One),Yes
1000000047,2021-04-23,Sarah Morgan,"['Lollipops', 'Suitcase', 'Stain Remover', 'Mouthwash', 'Detergent']",5,61.79,Mobile Payment,Lake Keith,15:32:28,Young Adult (20-29),Fall,BOGO (Buy One Get One),Yes
1000000048,2020-12-08,Stephen Acosta,"['Frozen Burritos', 'Yoga Mat', 'Baking Soda', 'Ice Cream Cones', 'Pajamas']",5,59.59,Cash,Marissabury,09:15:30,Middle-aged (50-64),Summer,BOGO (Buy One Get One),Yes
1000000049,2021-07-15,William Coleman,"['Pasta Sauce', 'Scissors']",2,18.549999999999997,Credit Card,Port Linda,06:56:19,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000050,2020-07-25,Matthew Tapia,"['Toilet Paper', 'Aluminum Foil', 'Folders', 'Hat', 'Sugar', 'Almonds', 'Gum', 'Insect Repellent', 'Frozen Cake', 'Mayonnaise', 'Notebook Paper', 'Goggles']",12,104.91000000000001,Credit Card,West Michael,10:52:51,Young Adult (20-29),Summer,None,No
1000000051,2023-09-07,Lisa Jones,"['Wine', 'Bikini', 'Ice Cream Sandwiches', 'Frozen Pie', 'Light Bulbs', 'Canned Tuna']",6,70.5,Cash,North Troybury,16:59:59,Senior (65+),Fall,Discount on Selected Items,Yes
1000000052,2020-10-17,Amanda Boone,"['Detergent', 'Tomatoes', 'Jelly', 'Canned Fruit', 'Swim Trunks', 'Bikini']",6,88.49999999999999,Mobile Payment,Medinaburgh,10:33:44,Teenager (13-19),Summer,BOGO (Buy One Get One),Yes
1000000053,2022-02-20,Mr. Timothy Palmer MD,"['Pasta Sauce', 'Lemonade', 'Nail Polish', 'Milk']",4,53.94,Cash,Hobury,11:29:42,Adult (30-49),Fall,BOGO (Buy One Get One),Yes
1000000054,2022-07-24,Kathleen Alvarado,"['Flip Flops', 'Almonds', 'Bath Salts', 'Picture Frames', 'Spaghetti']",5,39.269999999999996,Mobile Payment,Lake Kari,17:46:05,Senior (65+),Spring,BOGO (Buy One Get One),Yes
1000000055,2022-08-17,Katie Kim,"['Shaving Cream', 'Dish Soap', 'Bathrobe', 'Glue', 'Socks', 'Batteries', 'Boots', 'Exercise Ball']",8,87.63000000000001,Mobile Payment,New Michael,10:21:11,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000056,2021-11-23,Victoria Lozano,"['Dish Soap', 'Laundry Basket', 'Body Wash', 'Bug Spray']",4,49.4,Credit Card,Gomezville,19:43:36,Senior (65+),Summer,None,Yes
1000000057,2022-02-02,Cheryl Green,"['Paprika', 'Plastic Wrap', 'Water', 'Ice Cream Cones', 'Slippers']",5,56.07,Mobile Payment,South Donald,10:07:04,Adult (30-49),Winter,Discount on Selected Items,No
1000000058,2023-09-29,Emily Jackson,"['Jump Rope', 'Sandals', 'Brown Sugar', 'Matches', 'Cookies', 'Calculator', 'Moving Boxes', 'Cinnamon', 'Baking Soda']",9,91.05,Mobile Payment,Ingramport,07:01:05,Adult (30-49),Winter,None,No
1000000059,2020-09-10,Kimberly Bailey,"['Bread', 'Frozen Waffles', 'Napkins']",3,27.189999999999998,Debit Card,East Johnchester,15:28:15,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000060,2020-10-19,Elizabeth Mitchell,"['Bath Bombs', 'Muffins', 'Sunscreen', 'Capri Pants']",4,13.810000000000002,Debit Card,Kerrifurt,15:52:37,Adult (30-49),Fall,None,Yes
1000000061,2021-03-17,Gerald Clark,"['Ice Cream Sandwiches', 'Photo Albums', 'Peanuts', 'Exercise Ball', 'Shampoo']",5,64.66,Mobile Payment,New Maryview,17:05:32,Senior (65+),Winter,BOGO (Buy One Get One),Yes
1000000062,2022-12-16,Daniel Pierce,"['Butter', 'Paper Towels', 'Brownies', 'Toothbrush', 'Headbands', 'Protein Powder']",6,60.9,Debit Card,New Markbury,18:31:33,Senior (65+),Winter,Discount on Selected Items,Yes
1000000063,2021-09-10,Deborah Fuller,"['Charcoal', 'Tomatoes', 'Exercise Bike', 'Wine', 'Body Wash']",5,70.18,Mobile Payment,Andrewchester,14:46:59,Young Adult (20-29),Fall,Discount on Selected Items,Yes
1000000064,2021-07-23,Matthew Collins,"['Binders', 'Tweezers', 'Crackers']",3,25.33,Credit Card,North John,17:20:51,Senior (65+),Summer,None,No
1000000065,2020-04-23,Paige Zuniga,"['Laptop Bag', 'Resistance Bands', 'One-Piece Swimsuit', 'Oats', 'Pretzels']",5,40.61,Cash,Melissafurt,19:54:31,Adult (30-49),Spring,None,No
1000000066,2020-07-03,Jeff Cunningham,"['Frozen Meatballs', 'Briefcase', 'Water', 'Workout Clothes']",4,37.279999999999994,Debit Card,Chavezville,16:31:08,Teenager (13-19),Summer,BOGO (Buy One Get One),No
1000000067,2022-08-09,Angie Cabrera,"['Shorts', 'Canned Vegetables', 'Sunglasses', 'Chicken', 'Butter', 'Air Freshener']",6,66.98,Credit Card,Snyderfurt,08:19:39,Teenager (13-19),Fall,Discount on Selected Items,Yes
1000000068,2020-11-30,Philip Richardson,"['Light Bulbs', 'Toilet Paper', 'Suitcase', 'Facial Tissue', 'Underwear']",5,27.12,Mobile Payment,Brittanyview,04:10:50,Adult (30-49),Winter,BOGO (Buy One Get One),No
1000000069,2021-11-03,Kurt Alvarez,"['Gloves', 'Duct Tape', 'Donuts', 'Iced Tea', 'Razors', 'Flashlight']",6,75.22,Mobile Payment,Martinbury,12:04:23,Adult (30-49),Summer,BOGO (Buy One Get One),No
1000000070,2020-12-13,Denise Bryant,"['Bath Bombs', 'Frozen Vegetables', 'Hat', 'Goggles', 'Syrup']",5,48.86000000000001,Mobile Payment,Johnsonbury,19:42:45,Middle-aged (50-64),Fall,Discount on Selected Items,Yes
1000000071,2021-03-30,Phillip Contreras,"['Dried Cranberries', 'Bubble Wrap', 'Toothpaste']",3,14.27,Mobile Payment,West Elizabeth,17:31:47,Young Adult (20-29),Summer,BOGO (Buy One Get One),No
1000000072,2020-10-06,Erica Ewing,"['Ice Cream Tubs', 'Milk']",2,26.119999999999997,Debit Card,Freemanville,12:13:02,Young Adult (20-29),Winter,BOGO (Buy One Get One),No
1000000073,2023-08-18,Stephen Greer PhD,"['Cashews', 'Pretzels']",2,20.96,Mobile Payment,Whiteborough,13:52:02,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000074,2022-06-30,Joshua Beck,"['Lighter Fluid', 'Sponges', 'Toothbrush', 'Yoga Pants', 'Cream Cheese', 'Plastic Cups', 'Underwear', 'Shaving Cream', 'Index Cards']",9,82.16000000000001,Mobile Payment,Port Linda,06:07:03,Young Adult (20-29),Winter,Discount on Selected Items,No
1000000075,2021-12-11,Sharon Lee,"['Sports Bra', 'Treadmill', 'Socks', 'Facial Tissue']",4,18.53,Credit Card,South Rogerberg,21:45:31,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000076,2020-11-30,Stephen Mcgee,"['Pain Relievers', 'Foam Roller', 'Hangers', 'Slippers', 'Chocolate', 'Juice']",6,73.21,Mobile Payment,Port Marcfort,13:05:17,Teenager (13-19),Fall,Discount on Selected Items,Yes
1000000077,2023-05-06,Sonya Taylor,"['Bath Salts', 'Instant Noodles', 'Tank Top', 'Luggage', 'Cough Drops', 'Sorbets', 'Gelato', 'Crackers', 'Comb', 'Rowing Machine']",10,101.98,Credit Card,Lake Christine,14:54:07,Adult (30-49),Fall,None,No
1000000078,2022-03-30,Robin Bryant,"['Bug Spray', 'Swim Trunks', 'Facial Tissue']",3,30.82,Mobile Payment,East Aliciastad,15:14:51,Teenager (13-19),Winter,Discount on Selected Items,Yes
1000000079,2020-07-14,Candice Miranda,"['Bug Spray', 'Onion Powder']",2,11.91,Cash,West Katrina,04:44:45,Adult (30-49),Fall,None,Yes
1000000080,2020-09-20,Lance Huynh,"['Ice Cream Cones', 'Pretzels']",2,28.340000000000003,Mobile Payment,Port Devin,08:35:05,Adult (30-49),Spring,BOGO (Buy One Get One),No
1000000081,2023-10-19,Michael Perez,"['Umbrella', 'Raisins', 'Canola Oil', 'Lighter']",4,45.22,Credit Card,Michaelmouth,08:32:04,Teenager (13-19),Summer,Discount on Selected Items,Yes
1000000082,2021-04-14,Sheena Perez,"['Post-it Notes', 'Backpack', 'Photo Albums', 'Deodorant']",4,53.39000000000001,Mobile Payment,Pratthaven,10:07:39,Middle-aged (50-64),Winter,BOGO (Buy One Get One),Yes
1000000083,2021-08-22,Christian Johnson,"['Soda', 'Glass Cleaner', 'Storage Bins', 'Popsicles']",4,49.230000000000004,Credit Card,Timothymouth,10:52:28,Adult (30-49),Summer,BOGO (Buy One Get One),Yes
1000000084,2020-05-20,Crystal Mitchell,"['Tape', 'Batteries', 'Frozen Burritos']",3,51.17,Mobile Payment,Seanburgh,16:56:55,Adult (30-49),Spring,Discount on Selected Items,No
1000000085,2023-06-29,Edward Taylor,"['Binders', 'Bubble Wrap', 'Headbands', 'One-Piece Swimsuit', 'Frozen Fries', 'Skirt', 'Sneakers']",7,57.92999999999999,Credit Card,Ronaldstad,16:19:17,Teenager (13-19),Winter,BOGO (Buy One Get One),No
1000000086,2020-12-24,Erica Gregory,"['Frozen Waffles', 'Honey', 'Capri Pants']",3,28.02,Mobile Payment,Caitlynville,13:52:00,Young Adult (20-29),Spring,Discount on Selected Items,Yes
1000000087,2022-04-03,Mary Sullivan,"['Wine', 'Handbag', 'Paper Towels', 'Lighter Fluid', 'Scrubbers', 'Bikini']",6,76.53999999999999,Debit Card,North Taylor,12:25:23,Middle-aged (50-64),Summer,Discount on Selected Items,No
1000000088,2022-11-21,Jacqueline Luna,"['Yoga Mat', 'Sports Drinks', 'Raincoat', 'Mints', 'Cold Medicine']",5,34.6,Debit Card,West Jennifer,14:27:11,Adult (30-49),Summer,Discount on Selected Items,No
1000000089,2022-02-24,Paul Graham,"['Brown Sugar', 'Mayonnaise', 'Cashews', 'Toothpaste']",4,43.18,Mobile Payment,Jerryfort,13:13:04,Young Adult (20-29),Fall,Discount on Selected Items,Yes
1000000090,2021-07-02,Amanda Smith,['Canned Tuna'],1,16.46,Cash,South Jillfurt,20:44:57,Adult (30-49),Winter,Discount on Selected Items,Yes
1000000091,2021-01-15,Luis Gomez,"['Storage Bins', 'Towels', 'Bathrobe', 'Foam Roller']",4,45.43,Cash,Schneiderchester,07:27:29,Senior (65+),Summer,BOGO (Buy One Get One),Yes
1000000092,2022-10-09,Justin Barr,['Water'],1,6.69,Credit Card,West Juliehaven,18:49:53,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000093,2021-01-10,Kevin Ray,"['Gelato', 'Hairbrush', 'Pens', 'Floss', 'Apples', 'Plastic Utensils', 'Crayons', 'Salt', 'Beef', 'Syrup', 'Canned Soup', 'Laundry Detergent']",12,93.64,Mobile Payment,Nguyenfort,13:29:45,Senior (65+),Winter,BOGO (Buy One Get One),Yes
1000000094,2022-06-18,Olivia Moore,"['Canola Oil', 'Cookies', 'Bubble Wrap', 'Envelopes', 'Frozen Sausages', 'Dress', 'Toilet Bowl Cleaner', 'Socks', 'Mustard']",9,68.64999999999999,Credit Card,Markland,18:26:04,Middle-aged (50-64),Fall,BOGO (Buy One Get One),Yes
1000000095,2023-10-29,Timothy Martinez,"['Laundry Detergent', 'Tweezers', 'Workout Clothes']",3,13.75,Debit Card,New Lauren,17:04:45,Senior (65+),Winter,BOGO (Buy One Get One),No
1000000096,2023-09-09,Paul Perez,"['Toilet Bowl Cleaner', 'Dried Cranberries', 'Cucumber', 'Boots', 'Air Freshener', 'Canned Fruit']",6,49.25,Debit Card,Rodriguezberg,14:30:16,Middle-aged (50-64),Winter,None,Yes
1000000097,2022-09-07,Grace Roberts,"['Chicken', 'Mustard', 'Almonds', 'Bikini', 'Jelly', 'Ruler', 'Cough Syrup', 'Ziploc Bags', 'Dumbbells', 'Elliptical', 'Ice Cream Sandwiches']",11,101.96000000000002,Cash,Aaronland,11:11:25,Middle-aged (50-64),Winter,None,Yes
1000000098,2022-05-19,Jennifer Richardson,"['Foam Roller', 'Dumbbells', 'Nail Polish', 'Construction Paper', 'Bananas']",5,73.46,Credit Card,New Jesusview,09:05:33,Adult (30-49),Spring,Discount on Selected Items,Yes
1000000099,2020-08-18,Joseph Cook,"['Ruler', 'Swim Trunks', 'Plastic Utensils', 'Brownies', 'Nail Polish Remover', 'Ice Cream Cones', 'Ramen']",7,99.15,Debit Card,North Jennifer,14:47:59,Adult (30-49),Summer,None,No
1000000100,2023-04-02,Bradley Rodriguez,"['Disinfectant Wipes', 'Frozen Pancakes', 'Leggings', 'Sorbets', 'Storage Bins', 'T-Shirt']",6,79.55,Credit Card,Omarview,20:23:41,Middle-aged (50-64),Spring,None,Yes
1000000101,2023-08-21,Seth Reynolds,"['Cookies', 'Headbands', 'Passport Holder']",3,34.63,Cash,Jamieburgh,07:06:14,Adult (30-49),Summer,BOGO (Buy One Get One),Yes
1000000102,2021-05-20,Xavier Cummings,"['Glue', 'Resistance Bands', 'Jam', 'Cucumber']",4,26.45,Debit Card,Ryanville,08:27:23,Teenager (13-19),Summer,None,Yes
1000000103,2020-03-31,Tyler Rivera,"['Jacket', 'Frozen Sausages', 'Workout Clothes', 'Ziploc Bags', 'Cinnamon']",5,43.16,Cash,Jayshire,13:22:21,Adult (30-49),Summer,Discount on Selected Items,No
1000000104,2022-02-16,Jeremy Campbell,"['Frozen Dinners', 'Plastic Utensils', 'Tank Top']",3,15.86,Cash,East Kathrynhaven,12:41:15,Adult (30-49),Fall,None,No
1000000105,2021-09-22,Danielle Crawford,"['Luggage', 'Laundry Basket', 'Chewing Gum', 'Toothbrush', 'Swim Trunks', 'Scrubbers']",6,58.27,Debit Card,North Raymondhaven,10:13:11,Young Adult (20-29),Spring,Discount on Selected Items,Yes
1000000106,2023-05-25,Jillian Jones,"['Deodorant', 'Energy Drinks', 'Mac and Cheese', 'Bra', 'Beer', 'Index Cards', 'Toothbrush']",7,71.03999999999999,Cash,New Marietown,09:41:03,Young Adult (20-29),Winter,None,Yes
1000000107,2023-01-04,John Zuniga,"['Flip Flops', 'Sunscreen', 'Bread', 'Tank Top', 'Markers', 'Donuts', 'Pants']",7,58.94,Mobile Payment,West Frank,11:29:05,Adult (30-49),Winter,None,No
1000000108,2021-09-21,Joseph Montoya,"['Trash Bags', 'Shower Shoes', 'Shampoo', 'Oats', 'Lollipops']",5,43.42,Cash,New Robert,14:57:49,Middle-aged (50-64),Spring,BOGO (Buy One Get One),Yes
1000000109,2022-02-15,Ashley Gonzalez,"['Olive Oil', 'Swim Trunks', 'Shelving', 'Toothbrush', 'Ketchup', 'Backpack']",6,59.010000000000005,Mobile Payment,Port Candicehaven,08:09:00,Middle-aged (50-64),Spring,Discount on Selected Items,Yes
1000000110,2021-12-01,Brendan Wright,"['Olive Oil', 'Cotton Balls', 'Vegetable Oil', 'Pants', 'Paper Cups']",5,53.35,Credit Card,New Sarahside,16:53:13,Young Adult (20-29),Summer,None,No
1000000111,2022-08-23,Amber Wagner,"['Paper Towels', 'Energy Drinks', 'Flashlight', 'Coffee', 'Paprika', 'Candles']",6,67.85,Credit Card,Hansonview,16:51:34,Young Adult (20-29),Fall,Discount on Selected Items,No
1000000112,2022-07-22,Christian Frank,"['Comb', 'Toilet Bowl Cleaner', 'Notebooks', 'Thermometer', 'Baking Powder', 'Protein Powder', 'Bubble Wrap']",7,66.63,Credit Card,Lake Tina,22:10:34,Senior (65+),Spring,Discount on Selected Items,Yes
1000000113,2022-08-20,Kristy Burton,"['Sorbets', 'Iced Tea']",2,26.880000000000003,Credit Card,Jameshaven,20:40:29,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000114,2020-11-14,Jennifer Nielsen,"['Sweatshirt', 'Dryer Sheets', 'T-Shirt', 'Duct Tape', 'Bathrobe', 'Kettlebells', 'Jam']",7,72.85,Debit Card,South Davidview,18:17:14,Middle-aged (50-64),Summer,BOGO (Buy One Get One),Yes
1000000115,2023-03-19,Daniel Eaton,"['Capri Pants', 'Shorts', 'Hand Sanitizer']",3,18.83,Cash,Rothmouth,17:28:57,Senior (65+),Fall,Discount on Selected Items,No
1000000116,2020-03-18,Tyler Graham,"['Shower Curtain', 'Conditioner', 'Shaving Cream']",3,27.700000000000003,Cash,Lake Stanleyfort,16:54:35,Middle-aged (50-64),Spring,Discount on Selected Items,Yes
1000000117,2021-01-18,Patrick Webb,"['Kettlebells', 'Floss', 'Frozen Vegetables', 'Mayonnaise', 'Bath Mat']",5,36.83,Credit Card,Michellechester,08:31:15,Adult (30-49),Spring,Discount on Selected Items,No
1000000118,2022-03-22,Stanley Mcknight,"['Allergy Medicine', 'Honey', 'Polo Shirt', 'Pants']",4,51.34,Mobile Payment,New Jessicaton,09:51:29,Middle-aged (50-64),Spring,None,Yes
1000000119,2020-02-06,Luis Johnson,"['Hat', 'Peanut Butter', 'Frozen Meatballs', 'Sports Bra', 'Laundry Detergent', 'Bread', 'Pull-up Bar', 'Folders']",8,85.63,Mobile Payment,South Jaclyn,19:02:52,Adult (30-49),Fall,Discount on Selected Items,Yes
1000000120,2022-05-29,Miranda Weiss,"['Slippers', 'Lighter', 'Sunscreen', 'Socks', 'Pajamas', 'Bananas', 'Scarf', 'Handbag', 'Jacket']",9,93.07000000000001,Mobile Payment,Jenkinsmouth,17:21:38,Senior (65+),Summer,BOGO (Buy One Get One),No
